,bedrooms,beds,accommodates,amenities_count,instant_bookable,minimum_nights,number_of_reviews,bathrooms,monthly_revenue,room_type_Entire_home_apt,room_type_Hotel_room,room_type_Private_room,room_type_Shared_room
323,3.0,3.0,4,55,0,7,92,2.0,0,1,0,0,0
324,2.0,3.0,5,48,1,1,26,2.0,0,1,0,0,0
327,2.0,5.0,5,61,1,31,0,1.0,0,1,0,0,0
329,1.0,1.0,2,6,0,30,1,1.0,0,1,0,0,0
332,2.0,2.0,4,47,1,1,120,2.0,1,1,0,0,0
333,1.0,1.0,2,50,0,2,45,1.0,1,1,0,0,0
334,1.0,2.0,4,51,0,31,20,1.0,1,1,0,0,0
335,0.0,1.0,1,16,0,2,6,1.0,0,0,0,1,0
336,4.0,4.0,10,43,0,1,12,4.0,0,1,0,0,0
337,2.0,3.0,6,44,1,1,19,1.0,0,1,0,0,0
338,1.0,1.0,2,49,0,31,26,1.0,1,1,0,0,0
339,2.0,3.0,4,55,0,30,18,1.0,1,1,0,0,0
341,1.0,1.0,2,7,1,1,0,1.0,0,0,0,1,0
342,2.0,5.0,5,67,0,3,143,1.0,1,1,0,0,0
344,3.0,2.0,10,47,1,30,0,2.0,1,1,0,0,0
345,0.0,1.0,1,16,0,1,10,1.0,0,0,0,1,0
347,0.0,1.0,1,18,0,30,94,1.0,0,0,0,1,0
349,0.0,1.0,1,21,1,30,4,1.0,0,0,0,1,0
352,2.0,4.0,6,18,0,30,1,1.0,0,1,0,0,0
353,3.0,4.0,7,46,1,30,15,2.0,0,1,0,0,0
354,5.0,5.0,10,72,0,1,11,4.0,1,1,0,0,0
355,1.0,2.0,4,15,0,1,5,1.0,0,1,0,0,0
356,1.0,1.0,2,53,1,30,1,1.0,0,1,0,0,0
357,1.0,1.0,3,18,0,30,10,1.0,1,1,0,0,0
358,0.0,1.0,2,15,1,30,71,1.0,0,0,0,1,0
359,4.0,4.0,8,12,0,2,0,3.0,0,1,0,0,0
361,0.0,1.0,1,40,0,30,160,1.0,0,0,0,1,0
362,0.0,1.0,2,22,0,30,0,1.0,0,0,0,1,0
363,0.0,2.0,4,53,0,1,10,1.0,0,0,0,1,0
364,0.0,1.0,2,39,0,30,2,1.0,0,0,0,1,0
365,0.0,1.0,1,51,0,30,2,1.0,0,1,0,0,0
366,1.0,1.0,2,57,0,31,110,1.0,1,1,0,0,0
367,1.0,1.0,2,20,1,1,0,1.0,1,0,0,1,0
368,1.0,1.0,2,46,0,30,1,1.0,1,1,0,0,0
369,2.0,2.0,5,72,0,3,33,2.0,1,1,0,0,0
371,1.0,1.0,2,58,0,3,222,1.0,1,1,0,0,0
372,2.0,4.0,3,20,0,30,7,1.0,1,1,0,0,0
373,0.0,1.0,2,49,0,31,2,1.0,0,0,0,1,0
374,2.0,4.0,4,55,0,2,29,1.0,1,1,0,0,0
376,1.0,1.0,2,32,0,79,17,1.0,0,1,0,0,0
377,4.0,4.0,8,46,1,2,16,2.0,0,1,0,0,0
378,5.0,5.0,10,15,1,30,0,6.0,0,1,0,0,0
379,2.0,2.0,4,36,1,30,59,2.0,1,1,0,0,0
381,0.0,2.0,2,14,0,31,4,1.0,0,1,0,0,0
382,1.0,1.0,2,45,1,30,264,1.0,1,1,0,0,0
383,0.0,1.0,2,42,0,3,10,1.0,0,1,0,0,0
384,0.0,1.0,1,14,0,30,0,1.0,0,0,0,1,0
385,2.0,2.0,6,19,0,30,5,2.0,0,1,0,0,0
386,1.0,3.0,4,56,1,1,35,1.0,1,1,0,0,0
387,1.0,2.0,4,64,0,30,108,1.0,1,1,0,0,0
388,1.0,1.0,4,55,1,30,8,1.0,1,1,0,0,0
389,1.0,1.0,2,36,1,1,0,2.0,0,0,0,1,0
391,1.0,1.0,2,43,0,2,12,1.0,0,1,0,0,0
392,1.0,2.0,4,68,0,3,35,1.0,0,1,0,0,0
396,0.0,1.0,1,11,0,7,2,1.0,0,0,0,1,0
397,0.0,1.0,2,11,1,30,1,1.0,0,1,0,0,0
398,2.0,3.0,4,55,0,3,6,2.0,1,1,0,0,0
399,2.0,3.0,6,67,0,2,9,3.0,0,1,0,0,0
400,1.0,1.0,2,32,0,31,35,1.0,1,1,0,0,0
401,1.0,2.0,2,8,0,31,1,1.0,0,1,0,0,0
402,1.0,1.0,2,26,0,3,16,1.0,0,1,0,0,0
403,0.0,1.0,1,24,0,30,24,2.0,0,0,0,1,0
405,4.0,4.0,8,67,0,2,15,3.0,1,1,0,0,0
406,0.0,1.0,2,3,0,31,0,1.0,0,0,0,1,0
407,0.0,1.0,2,23,0,30,0,1.0,1,0,0,1,0
408,2.0,2.0,4,40,0,2,33,2.0,1,1,0,0,0
409,1.0,1.0,3,32,0,31,0,1.0,0,1,0,0,0
410,3.0,3.0,6,41,0,31,1,2.0,1,1,0,0,0
411,0.0,1.0,2,57,0,30,18,1.0,1,0,0,1,0
412,2.0,2.0,4,25,0,31,9,2.0,1,1,0,0,0
413,0.0,1.0,2,24,0,31,6,1.0,0,1,0,0,0
414,4.0,4.0,6,53,0,30,3,2.0,0,1,0,0,0
415,1.0,1.0,3,14,1,30,0,1.0,1,1,0,0,0
416,0.0,1.0,2,19,1,30,5,1.0,0,0,0,1,0
417,4.0,6.0,8,49,0,4,89,3.0,1,1,0,0,0
418,3.0,2.0,6,19,0,30,0,3.0,0,1,0,0,0
420,1.0,1.0,3,32,0,30,0,1.0,0,1,0,0,0
421,0.0,1.0,2,36,0,31,7,1.0,1,1,0,0,0
422,0.0,0.0,2,15,0,30,2,1.0,0,1,0,0,0
423,1.0,2.0,3,49,0,30,8,1.0,0,1,0,0,0
424,0.0,1.0,2,41,0,30,3,1.0,0,0,0,1,0
425,0.0,0.0,4,17,0,7,0,0.0,0,0,0,0,1
426,0.0,1.0,2,27,0,2,0,1.0,0,0,0,1,0
428,0.0,1.0,1,14,0,30,0,1.0,0,0,0,1,0
429,1.0,1.0,2,33,0,31,1,1.0,1,1,0,0,0
430,1.0,2.0,2,43,0,31,58,1.0,0,1,0,0,0
431,2.0,2.0,4,25,0,30,22,2.0,1,1,0,0,0
432,1.0,2.0,3,29,1,30,2,1.0,0,1,0,0,0
433,0.0,1.0,2,49,1,30,27,2.0,0,0,0,1,0
434,1.0,1.0,2,44,0,31,13,1.0,0,1,0,0,0
435,2.0,2.0,2,23,0,1,0,2.0,0,1,0,0,0
436,0.0,1.0,2,39,0,30,0,1.0,0,0,0,1,0
437,0.0,1.0,1,7,0,1,0,1.0,0,0,0,1,0
438,1.0,1.0,3,9,1,30,3,1.0,0,1,0,0,0
440,3.0,5.0,8,71,1,2,12,2.0,0,1,0,0,0
443,0.0,1.0,2,20,0,1,21,1.0,0,0,0,1,0
444,2.0,2.0,6,62,0,2,6,2.0,1,1,0,0,0
445,2.0,3.0,6,44,0,3,1,2.0,0,1,0,0,0
446,0.0,1.0,1,12,0,30,1,1.0,0,0,0,0,1
447,1.0,1.0,2,41,1,2,7,1.0,1,1,0,0,0
449,0.0,1.0,2,16,0,30,0,1.0,1,1,0,0,0
452,1.0,1.0,2,30,0,14,0,2.0,1,1,0,0,0
454,1.0,1.0,2,10,0,31,0,1.0,0,1,0,0,0
455,3.0,3.0,6,56,1,2,112,2.0,1,1,0,0,0
456,1.0,1.0,3,9,0,30,21,1.0,0,1,0,0,0
458,1.0,1.0,3,35,0,30,30,1.0,0,1,0,0,0
459,2.0,3.0,6,44,0,2,32,2.0,1,1,0,0,0
460,4.0,5.0,8,65,0,28,14,2.0,1,1,0,0,0
461,0.0,1.0,1,52,1,30,1,1.0,0,0,0,1,0
462,3.0,3.0,6,16,0,30,0,2.0,0,1,0,0,0
463,0.0,1.0,2,11,1,30,0,1.0,0,0,0,0,1
464,1.0,1.0,2,11,0,30,0,1.0,0,1,0,0,0
466,1.0,1.0,4,18,0,1,13,1.0,0,1,0,0,0
467,1.0,2.0,3,24,0,30,6,1.0,1,1,0,0,0
468,0.0,1.0,2,13,0,30,0,1.0,0,0,0,1,0
469,1.0,1.0,2,9,0,30,1,1.0,0,0,0,1,0
470,0.0,1.0,1,18,0,30,1,1.0,0,0,0,0,1
471,2.0,2.0,4,18,0,3,1,2.0,1,1,0,0,0
473,0.0,1.0,1,18,0,6,0,1.0,0,0,0,1,0
474,1.0,1.0,2,18,0,30,1,1.0,1,1,0,0,0
477,0.0,1.0,1,33,1,1,69,1.0,0,0,0,1,0
478,0.0,1.0,2,10,0,2,2,1.0,0,0,0,1,0
479,0.0,1.0,1,17,0,30,0,1.0,0,0,0,1,0
480,0.0,1.0,2,60,0,2,98,1.0,0,1,0,0,0
482,1.0,1.0,2,31,0,31,0,1.0,1,1,0,0,0
484,2.0,5.0,10,56,0,1,79,2.0,0,1,0,0,0
488,1.0,1.0,2,11,1,1,10,1.0,0,0,0,1,0
489,1.0,2.0,3,52,0,3,106,1.0,0,1,0,0,0
490,3.0,3.0,6,72,0,2,12,3.0,1,1,0,0,0
492,1.0,1.0,2,37,0,30,0,1.0,1,1,0,0,0
493,0.0,1.0,2,9,0,1,2,1.0,0,1,0,0,0
494,0.0,1.0,2,20,0,28,0,1.0,0,0,0,1,0
495,0.0,1.0,2,17,0,15,4,1.0,0,0,0,1,0
496,1.0,3.0,4,13,0,30,0,2.0,1,0,0,1,0
497,3.0,6.0,12,53,0,3,228,2.0,0,1,0,0,0
498,1.0,1.0,2,54,0,30,5,1.0,0,1,0,0,0
499,0.0,1.0,1,0,0,30,0,1.0,1,0,0,1,0
